control_number,specific_name,generic_name,category,qty,unit,origin,ship_date
2014421994,,SQUID,MEA,868,KG,VN,2/21/14
2014433646,,GEMSBOK,TRO,1,NO,ZA,3/8/14
2014435097,,GEMSBOK,TRO,2,NO,BW,3/10/14
2014450854,,WOLF,SKI,2,NO,CA,4/8/14
2014486378,CAPE,ALOE,EXT,60,LT,ZA,6/18/14
2014505910,,GEMSBOK,LPL,1,NO,ZA,7/28/14
2014535386,,GEMSBOK,TRO,2,NO,NA,9/17/14
2014550707,,GEMSBOK,TRO,1,NO,ZA,10/2/14
2014571137,,GEMSBOK,TRO,1,NO,ZA,3/11/14
2014579973,,GEMSBOK,TRO,2,NO,NA,5/31/14
2014580639,,IMPALA,TRO,1,NO,ZA,12/3/14
2014582258,,GEMSBOK,TRO,3,NO,ZA,11/28/14
2015593557,,GEMSBOK,TRO,1,NO,ZA,12/28/14
2013395795,,OYSTER,SPR,2808,NO,CN,1/2/14
2014396430,,TRITON,SPR,736,NO,CN,1/1/14
2014396430,GIANT,SCALLOP,SPR,736,NO,CN,1/1/14
2014396430,FROG,SHELL,SPR,736,NO,CN,1/1/14
2014396430,,ARK,SPR,1984,NO,CN,1/1/14
2014396430,VERTAGUS,SHELL,SPR,1984,NO,CN,1/1/14
2014396430,,SHELL,SPR,1984,NO,CN,1/1/14
2014396674,CAPIZ,SHELL,SPR,246,NO,IN,1/4/14
2014396703,,STARFISH,BOD,11004,NO,PH,1/5/14
2014396703,LITTLE BEAR,CONCH,SPR,6000,NO,PH,1/5/14
2014396712,BEKA,SQUID,MEA,1110,KG,KR,1/3/14
2014396712,BEKA,SQUID,MEA,1589,KG,CN,1/3/14
2014397423,WHITE-TAILED,DEER,LPS,1008,NO,US,1/6/14
2014397655,AMERICAN BLACK,BEAR,RUG,1,NO,CA,1/2/14
2014398130,CAPIZ,SHELL,SPR,606,NO,PH,1/9/14
2014398307,,BLESBOK,TRO,1,NO,ZA,1/5/14
2014398307,BLUE,WILDEBEEST,TRO,1,NO,ZA,1/5/14
2014398307,,GEMSBOK,TRO,1,NO,ZA,1/5/14
2014398307,COMMON,WARTHOG,TRO,1,NO,ZA,1/5/14
2014398307,BURCHELL'S,ZEBRA,TRO,1,NO,ZA,1/5/14
2014398308,BLUE,WILDEBEEST,TRO,1,NO,ZA,1/5/14
2014398308,,IMPALA,TRO,1,NO,ZA,1/5/14
2014398308,GREATER,KUDU,TRO,1,NO,ZA,1/5/14
2014398308,COMMON,WARTHOG,TRO,1,NO,ZA,1/5/14
2014398308,,WATERBUCK,TRO,1,NO,ZA,1/5/14
2014398709,COMMON,PHEASANT,FEA,2448,NO,CN,1/9/14
2014398709,SOUTHERN AFRICAN,OSTRICH,FEA,3024,NO,ZA,1/9/14
2014398722,WHITE-TAILED,DEER,LPS,9504,NO,US,1/8/14
2014398951,OLIVE,FLOUNDER,LIV,154,NO,KR,1/8/14
2014398951,,SEA PINEAPPLE,LIV,160,NO,KR,1/8/14
2014398958,,CROCODILE,SKU,1,NO,ZA,1/4/14
2014399220,CAPIZ,SHELL,SPR,75,NO,ID,1/10/14
2014399221,CAPIZ,SHELL,SPR,3264,NO,ID,1/10/14
2014399267,TROPICAL,FISH,LIV,286,NO,PH,1/9/14
2014399267,OTHER,INVERTEBRATES,LIV,48,NO,PH,1/9/14
2014399267,"CRABS, LOBSTERS,",CRUSTACEANS,LIV,118,NO,PH,1/9/14
2014399267,MOLLUSC,SHELL,LIV,71,NO,PH,1/9/14
2014399389,PEARL,MUSSEL,SPR,1200,NO,CN,1/5/14
2014399512,GREAT PEARL,OYSTER,JWL,555,NO,PH,1/8/14
2014399512,ABALONE,SHELL,JWL,601,NO,NZ,1/8/14
2014399512,,SHELL,JWL,115,NO,US,1/8/14
2014399512,,OYSTER,JWL,148,NO,PF,1/8/14
2014399512,,SEA FAN,JWL,3,NO,CN,1/8/14
2014399512,,OYSTER,JWL,55,NO,PH,1/8/14
2014399516,RADIATED RAT,SNAKE,SHO,600,NO,ID,1/8/14
2014399535,BEKA,SQUID,MEA,17430,KG,KR,1/10/14
2014400003,,MOOSE,HOC,117,NO,US,1/10/14
2014400123,PEARL,MUSSEL,SPR,15,NO,VN,1/10/14
2014400123,GREAT PEARL,OYSTER,SPR,222,NO,VN,1/10/14
2014400137,GREAT PEARL,OYSTER,SPR,65,NO,VN,1/10/14
2014400147,,TURBAN,SPR,312,NO,CN,1/9/14
2014400147,SEA,SNAIL,SPR,312,NO,CN,1/9/14
2014400147,,STARFISH,BOD,1560,NO,CN,1/9/14
2014400147,,ARK,SPR,312,NO,CN,1/9/14
2014400343,TROPICAL,FISH,LIV,1219,NO,ID,1/9/14
2014400343,"CRABS, LOBSTERS,",CRUSTACEANS,LIV,136,NO,ID,1/9/14
2014400343,MOLLUSC,SHELL,LIV,556,NO,ID,1/9/14
2014400343,,CRUSTACEAN,LIV,208,NO,ID,1/9/14
2014400343,STAGHORN,CORAL,LIV,8,NO,ID,1/9/14
2014400343,STAGHORN,CORAL,LIV,1,NO,ID,1/9/14
2014400343,STAGHORN,CORAL,LIV,1,NO,ID,1/9/14
2014400343,STAGHORN,CORAL,LIV,10,NO,ID,1/9/14
2014400343,STAGHORN,CORAL,LIV,1,NO,ID,1/9/14
2014400343,STAGHORN,CORAL,LIV,7,NO,ID,1/9/14
2014400343,STAGHORN,CORAL,LIV,1,NO,ID,1/9/14
2014400343,STAGHORN,CORAL,LIV,9,NO,ID,1/9/14
2014400343,STAGHORN,CORAL,LIV,5,NO,ID,1/9/14
2014400343,STAGHORN,CORAL,LIV,7,NO,ID,1/9/14
2014400343,BLUETIP,CORAL,LIV,1,NO,ID,1/9/14
2014400343,BRUSH,CORAL,LIV,2,NO,ID,1/9/14
2014400343,,CORAL,LIV,3,NO,ID,1/9/14
2014400343,BIRDS NEST,CORAL,LIV,4,NO,ID,1/9/14
2014400343,,CORAL,LIV,3,NO,ID,1/9/14
2014400343,,CORAL,LIV,5,NO,ID,1/9/14
2014400343,BOWL,CORAL,LIV,5,NO,ID,1/9/14
2014400343,ANCHOR,CORAL,LIV,23,NO,ID,1/9/14
2014400343,ANCHOR,CORAL,LIV,6,NO,ID,1/9/14
2014400343,TRUMPET,CORAL,LIV,30,NO,ID,1/9/14
2014400343,STAGHORN,CORAL,LIV,1,NO,ID,1/9/14
2014400343,,CORAL,LIV,1,NO,ID,1/9/14
2014400343,STAGHORN,CORAL,LIV,8,NO,ID,1/9/14
2014400343,STAGHORN,CORAL,LIV,9,NO,ID,1/9/14
2014400343,STAGHORN,CORAL,LIV,10,NO,ID,1/9/14
2014400343,STAGHORN,CORAL,LIV,1,NO,ID,1/9/14
2014400343,STAGHORN,CORAL,LIV,7,NO,ID,1/9/14
2014400343,,CORAL,LIV,3,NO,ID,1/9/14
2014400343,,CORAL,LIV,4,NO,ID,1/9/14
2014400343,STAGHORN,CORAL,LIV,7,NO,ID,1/9/14
2014400343,,CORAL,LIV,2,NO,ID,1/9/14
2014400343,STAGHORN,CORAL,LIV,2,NO,ID,1/9/14
2014400343,STAGHORN,CORAL,LIV,3,NO,ID,1/9/14
