Genus,Species,CurrentListing
Abeillia,,II
Abeillia,abeillei,II
Abyssopathes,,II
Abyssopathes,lyra,II
Abyssopathes,lyriformis,II
Acanthastrea,,II
Acanthastrea,amakusensis,II
Acanthastrea,bowerbanki,II
Acanthastrea,brevis,II
Acanthastrea,echinata,II
Acanthastrea,faviaformis,II
Acanthastrea,hemprichii,II
Acanthastrea,hillae,II
Acanthastrea,ishigakiensis,II
Acanthastrea,lordhowensis,II
Acanthastrea,maxima,II
Acanthastrea,minuta,II
Acanthastrea,regularis,II
Acanthastrea,rotundoflora,II
Acanthastrea,subechinata,II
Acanthopathes,,II
Acanthopathes,hancocki,II
Acanthopathes,humilis,II
Acanthopathes,somervillei,II
Acanthopathes,thyoides,II
Acanthopathes,undulata,II
Acanthophyllia,,II
Acanthophyllia,deshayesiana,II
Accipiter,,II
Accipiter,albogularis,II
Accipiter,badius,II
Accipiter,bicolor,II
Accipiter,brachyurus,II
Accipiter,brevipes,II
Accipiter,butleri,II
Accipiter,castanilius,II
Accipiter,cirrhocephalus,II
Accipiter,collaris,II
Accipiter,cooperii,II
Accipiter,erythrauchen,II
Accipiter,erythropus,II
Accipiter,fasciatus,II
Accipiter,francesii,II
Accipiter,gentilis,II
Accipiter,griseiceps,II
Accipiter,gularis,II
Accipiter,gundlachi,II
Accipiter,haplochrous,II
Accipiter,henicogrammus,II
Accipiter,henstii,II
Accipiter,imitator,II
Accipiter,luteoschistaceus,II
Accipiter,madagascariensis,II
Accipiter,melanochlamys,II
Accipiter,melanoleucus,II
Accipiter,meyerianus,II
Accipiter,minullus,II
Accipiter,nanus,II
Accipiter,nisus,II
Accipiter,novaehollandiae,II
Accipiter,ovampensis,II
Accipiter,poliocephalus,II
Accipiter,poliogaster,II
Accipiter,princeps,II
Accipiter,rhodogaster,II
Accipiter,rufitorques,II
Accipiter,rufiventris,II
Accipiter,soloensis,II
Accipiter,striatus,II
Accipiter,superciliosus,II
Accipiter,tachiro,II
Accipiter,toussenelii,II
Accipiter,trinotatus,II
Accipiter,trivirgatus,II
Accipiter,virgatus,II
,,I/II
Acerodon,,I/II
Acerodon,celebensis,II
Acerodon,humilis,II
Acerodon,jubatus,I
Acerodon,leucotis,II
Acerodon,mackloti,II
Aceros,,I/II
Aceros,cassidix,II
Aceros,corrugatus,II
Aceros,leucocephalus,II
Aceros,nipalensis,I
Aceros,waldeni,II
Achatinella,,I
Achatinella,abbreviata,I
Achatinella,apexfulva,I
Achatinella,bellula,I
Achatinella,buddii,I
Achatinella,bulimoides,I
Achatinella,byronii,I
Achatinella,caesia,I
Achatinella,casta,I
Achatinella,cestus,I
Achatinella,concavospira,I
Achatinella,curta,I
Achatinella,decipiens,I
Achatinella,decora,I
Achatinella,dimorpha,I
Achatinella,elegans,I
Achatinella,fulgens,I
Achatinella,fuscobasis,I
Achatinella,juddii,I
Achatinella,juncea,I
Achatinella,lehuiensis,I
Achatinella,leucorrhaphe,I
Achatinella,lila,I
Achatinella,livida,I
Achatinella,lorata,I
Achatinella,mustelina,I
Achatinella,papyracea,I
Achatinella,phaeozona,I
Achatinella,pulcherrima,I
Achatinella,pupukanioe,I
Achatinella,sowerbyana,I
Achatinella,spaldingi,I
Achatinella,stewartii,I
Achatinella,swiftii,I
Achatinella,taeniolata,I
Achatinella,thaanumi,I
Achatinella,turgida,I
Achatinella,valida,I
Achatinella,viridans,I
Achatinella,vulpina,I
Acinonyx,,I
Acinonyx,jubatus,I
Acipenser,,I/II
Acipenser,baerii,II
Acipenser,brevirostrum,I
Acipenser,dabryanus,II
Acipenser,fulvescens,II
Acipenser,gueldenstaedtii,II
,,I/II
,,I/II
Acipenser,medirostris,II
Acipenser,mikadoi,II
Acipenser,naccarii,II
Acipenser,nudiventris,II
